Episodes,B2,S3,B3,B1,S2,S1,episode_len
4189,9.361875,8.445625,10.431875,9.475,8.756875,8.32875,10.96
4191,9.299375,8.4525,10.321875,9.57125,8.73625,8.41875,11.14
4203,10.11875,8.945625,10.453125,9.8275,8.731875,8.923125,8.63
4204,10.0725,8.9525,10.343125,9.821875,8.640625,8.969375,8.71
4206,10.055625,8.9525,10.268125,9.82875,8.446875,9.048125,8.8
4207,9.92875,8.9525,10.275,9.82875,8.35,9.065,8.88
4209,9.768125,8.979375,10.280625,10.04875,8.3375,9.185625,8.76
4210,9.613125,9.069375,10.281875,10.15875,8.33625,9.140625,8.76
4212,9.57375,8.89875,10.281875,10.10875,8.404375,9.1325,8.8
4214,9.695,8.913125,10.281875,10.080625,8.303125,9.32625,8.64
4224,9.895625,8.921875,10.440625,10.2025,8.27375,9.465625,7.75
4228,9.785625,8.921875,10.440625,10.2025,8.18375,9.465625,8.04
4230,9.688125,8.935625,10.438125,10.2025,8.08125,9.454375,8.38
4231,9.544375,8.935625,10.438125,10.2025,8.025,9.454375,8.41
4232,9.434375,8.935625,10.438125,10.209375,7.935,9.4475,8.68
4244,9.434375,8.980625,10.296875,10.2075,7.860625,9.42,8.99
4253,9.455,8.980625,10.325,10.23875,7.808125,9.3925,8.99
4255,9.345,8.890625,10.33625,10.12875,7.796875,9.3025,9.54
4257,9.345,8.890625,10.330625,10.065,7.8925,9.27625,9.63
4258,9.339375,8.800625,10.33625,9.961875,7.8925,9.269375,9.88
4264,9.54375,8.786875,10.375,10.0275,7.914375,9.3525,9.21
4266,9.54375,8.786875,10.38875,9.8075,7.734375,9.33875,9.77
4267,9.43375,8.786875,10.395625,9.800625,7.644375,9.33875,10.05
4269,9.37125,8.751875,10.420625,9.788125,7.644375,9.22375,10.56
4274,9.376875,8.753125,10.46125,9.78125,7.68875,9.13875,10.75
4276,9.363125,8.676875,10.48625,9.67125,7.681875,9.120625,11.16
4277,9.363125,8.586875,10.49875,9.568125,7.675,9.108125,11.44
4278,9.253125,8.57,10.54875,9.465,7.578125,8.985,11.72
4279,9.143125,8.553125,10.578125,9.494375,7.48125,8.95,12.0
4281,8.923125,8.56,10.648125,9.48875,7.435,8.745,12.56
4293,9.246875,8.498125,10.811875,9.424375,7.759375,8.659375,11.68
4298,9.2525,8.488125,10.811875,9.355,7.681875,8.610625,11.96
4301,9.17875,8.361875,10.811875,9.355,7.681875,8.610625,12.19
4303,9.063125,8.29125,10.701875,9.38125,7.578125,8.584375,12.49
4304,8.96,8.194375,10.701875,9.38125,7.578125,8.584375,12.49
4316,9.553125,8.319375,10.7975,9.3975,7.955625,8.776875,10.15
4317,9.443125,8.319375,10.7975,9.391875,7.865625,8.7825,10.42
4320,9.3025,8.32625,10.7975,9.391875,7.60625,8.775625,11.03
4321,9.3275,8.32625,10.7975,9.391875,7.58125,8.775625,11.31
4323,9.2175,8.32625,10.7975,9.391875,7.49125,8.775625,11.66
4339,9.65625,8.361875,10.9275,9.37,7.87,8.814375,10.15
4358,9.75125,8.57875,10.910625,9.679375,7.920625,8.959375,8.94
