Episodes,S3,S1,B3,B2,B1,S2,episode_len
16364,8.546875,9.020625,11.433125,10.995625,11.065625,8.938125,2.01
16461,8.50125,9.015,11.399375,11.080625,11.06,8.94375,2.01
16561,8.506875,8.983125,11.421875,11.056875,11.0125,9.01875,2.02
16663,8.53799019607843,8.993872549019608,11.411151960784315,11.005514705882353,11.068014705882353,8.983455882352942,1.9509803921568627
16761,8.483125,8.981875,11.49375,11.048125,11.02125,8.971875,2.04
16859,8.553125,9.015,11.4275,11.045625,10.950625,9.008125,2.04
16959,8.50125,9.0175,11.421875,11.020625,11.043125,8.995625,1.99
17064,8.51607142857143,9.020833333333334,11.471428571428572,11.02797619047619,10.979761904761904,8.98392857142857,1.9047619047619047
17168,8.501201923076923,8.994591346153847,11.447716346153847,11.025240384615385,11.063701923076923,8.967548076923077,1.9230769230769231
17277,8.552752293577981,9.021215596330276,11.428325688073395,11.049885321100918,10.946674311926605,9.001146788990825,1.81651376146789
17379,8.474264705882353,8.977941176470589,11.48406862745098,11.044117647058824,11.06924019607843,8.950367647058824,1.9901960784313726
17482,8.55885922330097,9.00242718446602,11.436893203883495,11.044296116504855,10.97390776699029,8.98361650485437,1.941747572815534
17588,8.566037735849056,9.007665094339623,11.445754716981131,11.024174528301886,10.993514150943396,8.962853773584905,1.8867924528301887
17693,8.511904761904763,9.00654761904762,11.475595238095238,11.04404761904762,11.008928571428571,8.95297619047619,1.9047619047619047
17797,8.513221153846153,9.0,11.427283653846153,11.05108173076923,11.03545673076923,8.97295673076923,1.9230769230769231
17904,8.525116822429906,9.02570093457944,11.42873831775701,11.014602803738319,11.02570093457944,8.980140186915888,1.8691588785046729
18011,8.589369158878505,9.00642523364486,11.42464953271028,11.042640186915888,10.95268691588785,8.984228971962617,1.8598130841121496
18117,8.543632075471699,8.995872641509434,11.444575471698114,11.01002358490566,11.03242924528302,8.973466981132075,1.8962264150943395
18226,8.553899082568808,9.012614678899082,11.458142201834862,11.0,10.988532110091743,8.986811926605505,1.8256880733944953
18332,8.54186320754717,9.033608490566039,11.41804245283019,10.97936320754717,11.027122641509434,9.0,1.8867924528301887
18439,8.54964953271028,9.00642523364486,11.398364485981308,11.014602803738319,11.039135514018692,8.991822429906541,1.8785046728971964
18542,8.462985436893204,9.006674757281553,11.479368932038835,11.037014563106796,11.035800970873787,8.978155339805825,1.9320388349514563
18654,8.568080357142858,8.99609375,11.426897321428571,11.000558035714286,11.02734375,8.981026785714286,1.7946428571428572
18761,8.505841121495328,9.02570093457944,11.473130841121495,11.030957943925234,11.01051401869159,8.953855140186915,1.8598130841121496
18868,8.44626168224299,8.99591121495327,11.488901869158878,11.076518691588785,11.039719626168225,8.95268691588785,1.8598130841121496
18978,8.64375,9.019886363636363,11.442613636363637,10.960227272727273,10.978409090909091,8.955113636363636,1.8363636363636364
19082,8.51983173076923,9.0,11.44891826923077,11.024639423076923,11.017427884615385,8.989182692307692,1.9230769230769231
19190,8.549768518518519,9.007523148148149,11.432291666666666,11.00173611111111,11.033564814814815,8.97511574074074,1.8518518518518519
19305,8.584782608695653,9.0,11.454891304347827,11.045108695652173,10.954347826086957,8.960869565217392,1.7304347826086957
19409,8.514423076923077,9.039663461538462,11.447716346153847,11.034254807692308,10.98016826923077,8.983774038461538,1.9230769230769231
19513,8.49579326923077,9.0,11.463942307692308,11.032451923076923,11.034254807692308,8.973557692307692,1.9230769230769231
19625,8.581473214285714,9.049107142857142,11.42578125,11.022321428571429,10.936383928571429,8.984933035714286,1.7767857142857142
19739,8.516447368421053,9.0,11.452850877192983,11.042214912280702,11.016995614035087,8.971491228070175,1.7719298245614035
19846,8.511098130841122,9.0,11.457359813084112,11.042640186915888,11.020443925233645,8.968457943925234,1.8598130841121496
19951,8.498809523809523,9.019642857142857,11.415476190476191,11.055357142857142,11.026785714285714,8.98392857142857,1.9142857142857144
20061,8.443181818181818,9.0,11.50625,11.041477272727272,11.032386363636364,8.976704545454545,1.8
20172,8.547297297297296,9.037162162162161,11.430743243243244,11.01126126126126,11.014076576576576,8.95945945945946,1.8108108108108107
20284,8.497767857142858,9.0,11.537388392857142,11.012276785714286,11.006696428571429,8.945870535714286,1.7857142857142858
20398,8.553728070175438,9.03015350877193,11.458881578947368,11.00328947368421,10.983552631578947,8.970394736842104,1.7543859649122806
20501,8.49635922330097,9.013349514563107,11.480582524271844,11.003033980582524,11.006674757281553,9.0,1.941747572815534
20617,8.500538793103448,9.0,11.464439655172415,11.029633620689655,11.024784482758621,8.980603448275861,1.7327586206896552
